question_id,cluster_id,model,score
passage-031-q3,passage-031,tuned-70b,1
passage-031-q4,passage-031,baseline-7b,0
passage-031-q4,passage-031,tuned-7b,0
passage-031-q4,passage-031,baseline-70b,1
passage-031-q4,passage-031,tuned-70b,1
passage-032-q0,passage-032,baseline-7b,0
passage-032-q0,passage-032,tuned-7b,1
passage-032-q0,passage-032,baseline-70b,1
passage-032-q0,passage-032,tuned-70b,0
passage-032-q1,passage-032,baseline-7b,1
passage-032-q1,passage-032,tuned-7b,0
passage-032-q1,passage-032,baseline-70b,1
passage-032-q1,passage-032,tuned-70b,1
passage-032-q2,passage-032,baseline-7b,0
passage-032-q2,passage-032,tuned-7b,0
passage-032-q2,passage-032,baseline-70b,1
passage-032-q2,passage-032,tuned-70b,1
passage-032-q3,passage-032,baseline-7b,0
passage-032-q3,passage-032,tuned-7b,0
passage-032-q3,passage-032,baseline-70b,0
passage-032-q3,passage-032,tuned-70b,0
passage-032-q4,passage-032,baseline-7b,0
passage-032-q4,passage-032,tuned-7b,0
passage-032-q4,passage-032,baseline-70b,1
passage-032-q4,passage-032,tuned-70b,1
passage-033-q0,passage-033,baseline-7b,0
passage-033-q0,passage-033,tuned-7b,0
passage-033-q0,passage-033,baseline-70b,0
passage-033-q0,passage-033,tuned-70b,0
passage-033-q1,passage-033,baseline-7b,0
passage-033-q1,passage-033,tuned-7b,0
passage-033-q1,passage-033,baseline-70b,1
passage-033-q1,passage-033,tuned-70b,0
passage-033-q2,passage-033,baseline-7b,0
passage-033-q2,passage-033,tuned-7b,0
passage-033-q2,passage-033,baseline-70b,0
passage-033-q2,passage-033,tuned-70b,1
passage-033-q3,passage-033,baseline-7b,0
passage-033-q3,passage-033,tuned-7b,0
passage-033-q3,passage-033,baseline-70b,1
passage-033-q3,passage-033,tuned-70b,1
passage-033-q4,passage-033,baseline-7b,0
passage-033-q4,passage-033,tuned-7b,0
passage-033-q4,passage-033,baseline-70b,1
passage-033-q4,passage-033,tuned-70b,1
passage-034-q0,passage-034,baseline-7b,1
passage-034-q0,passage-034,tuned-7b,1
passage-034-q0,passage-034,baseline-70b,1
passage-034-q0,passage-034,tuned-70b,1
passage-034-q1,passage-034,baseline-7b,0
passage-034-q1,passage-034,tuned-7b,0
passage-034-q1,passage-034,baseline-70b,1
passage-034-q1,passage-034,tuned-70b,1
passage-034-q2,passage-034,baseline-7b,0
passage-034-q2,passage-034,tuned-7b,0
passage-034-q2,passage-034,baseline-70b,1
passage-034-q2,passage-034,tuned-70b,1
passage-034-q3,passage-034,baseline-7b,1
passage-034-q3,passage-034,tuned-7b,0
passage-034-q3,passage-034,baseline-70b,1
passage-034-q3,passage-034,tuned-70b,1
passage-034-q4,passage-034,baseline-7b,0
passage-034-q4,passage-034,tuned-7b,1
passage-034-q4,passage-034,baseline-70b,1
passage-034-q4,passage-034,tuned-70b,1
passage-035-q0,passage-035,baseline-7b,1
passage-035-q0,passage-035,tuned-7b,1
passage-035-q0,passage-035,baseline-70b,1
passage-035-q0,passage-035,tuned-70b,1
passage-035-q1,passage-035,baseline-7b,1
passage-035-q1,passage-035,tuned-7b,1
passage-035-q1,passage-035,baseline-70b,0
passage-035-q1,passage-035,tuned-70b,0
passage-035-q2,passage-035,baseline-7b,0
passage-035-q2,passage-035,tuned-7b,1
passage-035-q2,passage-035,baseline-70b,0
passage-035-q2,passage-035,tuned-70b,1
passage-035-q3,passage-035,baseline-7b,0
passage-035-q3,passage-035,tuned-7b,0
passage-035-q3,passage-035,baseline-70b,0
passage-035-q3,passage-035,tuned-70b,0
passage-035-q4,passage-035,baseline-7b,0
passage-035-q4,passage-035,tuned-7b,0
passage-035-q4,passage-035,baseline-70b,1
passage-035-q4,passage-035,tuned-70b,1
passage-036-q0,passage-036,baseline-7b,0
passage-036-q0,passage-036,tuned-7b,0
passage-036-q0,passage-036,baseline-70b,0
passage-036-q0,passage-036,tuned-70b,0
passage-036-q1,passage-036,baseline-7b,0
passage-036-q1,passage-036,tuned-7b,1
passage-036-q1,passage-036,baseline-70b,1
passage-036-q1,passage-036,tuned-70b,1
passage-036-q2,passage-036,baseline-7b,0
passage-036-q2,passage-036,tuned-7b,0
passage-036-q2,passage-036,baseline-70b,0
passage-036-q2,passage-036,tuned-70b,0
passage-036-q3,passage-036,baseline-7b,0
passage-036-q3,passage-036,tuned-7b,0
passage-036-q3,passage-036,baseline-70b,0
passage-036-q3,passage-036,tuned-70b,0
passage-036-q4,passage-036,baseline-7b,1
passage-036-q4,passage-036,tuned-7b,1
passage-036-q4,passage-036,baseline-70b,0
passage-036-q4,passage-036,tuned-70b,1
passage-037-q0,passage-037,baseline-7b,0
passage-037-q0,passage-037,tuned-7b,1
passage-037-q0,passage-037,baseline-70b,1
passage-037-q0,passage-037,tuned-70b,1
passage-037-q1,passage-037,baseline-7b,0
passage-037-q1,passage-037,tuned-7b,1
passage-037-q1,passage-037,baseline-70b,1
passage-037-q1,passage-037,tuned-70b,0
passage-037-q2,passage-037,baseline-7b,1
passage-037-q2,passage-037,tuned-7b,1
passage-037-q2,passage-037,baseline-70b,1
passage-037-q2,passage-037,tuned-70b,1
passage-037-q3,passage-037,baseline-7b,1
passage-037-q3,passage-037,tuned-7b,1
passage-037-q3,passage-037,baseline-70b,1
passage-037-q3,passage-037,tuned-70b,1
passage-037-q4,passage-037,baseline-7b,1
passage-037-q4,passage-037,tuned-7b,1
passage-037-q4,passage-037,baseline-70b,0
passage-037-q4,passage-037,tuned-70b,1
passage-038-q0,passage-038,baseline-7b,1
passage-038-q0,passage-038,tuned-7b,1
passage-038-q0,passage-038,baseline-70b,1
passage-038-q0,passage-038,tuned-70b,1
passage-038-q1,passage-038,baseline-7b,1
passage-038-q1,passage-038,tuned-7b,1
passage-038-q1,passage-038,baseline-70b,1
passage-038-q1,passage-038,tuned-70b,1
passage-038-q2,passage-038,baseline-7b,0
passage-038-q2,passage-038,tuned-7b,1
passage-038-q2,passage-038,baseline-70b,1
passage-038-q2,passage-038,tuned-70b,1
passage-038-q3,passage-038,baseline-7b,1
passage-038-q3,passage-038,tuned-7b,1
passage-038-q3,passage-038,baseline-70b,1
passage-038-q3,passage-038,tuned-70b,1
passage-038-q4,passage-038,baseline-7b,1
passage-038-q4,passage-038,tuned-7b,1
passage-038-q4,passage-038,baseline-70b,1
passage-038-q4,passage-038,tuned-70b,1
passage-039-q0,passage-039,baseline-7b,1
passage-039-q0,passage-039,tuned-7b,1
passage-039-q0,passage-039,baseline-70b,0
passage-039-q0,passage-039,tuned-70b,1
passage-039-q1,passage-039,baseline-7b,1
passage-039-q1,passage-039,tuned-7b,1
passage-039-q1,passage-039,baseline-70b,1
passage-039-q1,passage-039,tuned-70b,1
passage-039-q2,passage-039,baseline-7b,0
passage-039-q2,passage-039,tuned-7b,1
passage-039-q2,passage-039,baseline-70b,1
passage-039-q2,passage-039,tuned-70b,1
passage-039-q3,passage-039,baseline-7b,1
passage-039-q3,passage-039,tuned-7b,1
passage-039-q3,passage-039,baseline-70b,0
passage-039-q3,passage-039,tuned-70b,1
passage-039-q4,passage-039,baseline-7b,0
passage-039-q4,passage-039,tuned-7b,1
passage-039-q4,passage-039,baseline-70b,1
passage-039-q4,passage-039,tuned-70b,1
